Verb,Tense,Pronoun,ConjugatedVerb
to go,Past perfect progressive / continuous,we had been ,going
to go,Past perfect progressive / continuous,you had been ,going
to go,Past perfect progressive / continuous,they had been ,going
to go,Future,I will ,go
to go,Future,you will ,go
to go,Future,he will ,go
to go,Future,we will ,go
to go,Future,you will ,go
to go,Future,they will ,go
to go,Future progressive / continuous,I will be ,going
to go,Future progressive / continuous,you will be ,going
to go,Future progressive / continuous,he will be ,going
to go,Future progressive / continuous,we will be ,going
to go,Future progressive / continuous,you will be ,going
to go,Future progressive / continuous,they will be ,going
to go,Future perfect,I will have ,gone
to go,Future perfect,you will have ,gone
to go,Future perfect,he will have ,gone
to go,Future perfect,we will have ,gone
to go,Future perfect,you will have ,gone
to go,Future perfect,they will have ,gone
to go,Future perfect continuous,I will have been ,going
to go,Future perfect continuous,you will have been ,going
to go,Future perfect continuous,he will have been ,going
to go,Future perfect continuous,we will have been ,going
to go,Future perfect continuous,you will have been ,going
to go,Future perfect continuous,they will have been ,going
to come,Present (simple),I ,come
to come,Present (simple),you ,come
to come,Present (simple),he ,comes
to come,Present (simple),we ,come
to come,Present (simple),you ,come
to come,Present (simple),they ,come
to come,Present progressive / continuous,I am ,coming
to come,Present progressive / continuous,you are ,coming
to come,Present progressive / continuous,he is ,coming
to come,Present progressive / continuous,we are ,coming
to come,Present progressive / continuous,you are ,coming
to come,Present progressive / continuous,they are ,coming
to come,Past (simple),I ,came
to come,Past (simple),you ,came
to come,Past (simple),he ,came
to come,Past (simple),we ,came
to come,Past (simple),you ,came
to come,Past (simple),they ,came
to come,Past progressive / continuous,I was ,coming
to come,Past progressive / continuous,you were ,coming
to come,Past progressive / continuous,he was ,coming
to come,Past progressive / continuous,we were ,coming
to come,Past progressive / continuous,you were ,coming
to come,Past progressive / continuous,they were ,coming
to come,Present perfect (simple),I have ,come
to come,Present perfect (simple),you have ,come
to come,Present perfect (simple),he has ,come
to come,Present perfect (simple),we have ,come
to come,Present perfect (simple),you have ,come
to come,Present perfect (simple),they have ,come
to come,Present perfect progressive / continuous,I have been ,coming
to come,Present perfect progressive / continuous,you have been ,coming
to come,Present perfect progressive / continuous,he has been ,coming
to come,Present perfect progressive / continuous,we have been ,coming
to come,Present perfect progressive / continuous,you have been ,coming
to come,Present perfect progressive / continuous,they have been ,coming
to come,Past perfect,I had ,come
to come,Past perfect,you had ,come
to come,Past perfect,he had ,come
to come,Past perfect,we had ,come
to come,Past perfect,you had ,come
to come,Past perfect,they had ,come
to come,Past perfect progressive / continuous,I had been ,coming
to come,Past perfect progressive / continuous,you had been ,coming
to come,Past perfect progressive / continuous,he had been ,coming
to come,Past perfect progressive / continuous,we had been ,coming
to come,Past perfect progressive / continuous,you had been ,coming
to come,Past perfect progressive / continuous,they had been ,coming
to come,Future,I will ,come
to come,Future,you will ,come
to come,Future,he will ,come
to come,Future,we will ,come
to come,Future,you will ,come
to come,Future,they will ,come
to come,Future progressive / continuous,I will be ,coming
to come,Future progressive / continuous,you will be ,coming
to come,Future progressive / continuous,he will be ,coming
to come,Future progressive / continuous,we will be ,coming
to come,Future progressive / continuous,you will be ,coming
to come,Future progressive / continuous,they will be ,coming
to come,Future perfect,I will have ,come
to come,Future perfect,you will have ,come
to come,Future perfect,he will have ,come
to come,Future perfect,we will have ,come
to come,Future perfect,you will have ,come
to come,Future perfect,they will have ,come
to come,Future perfect continuous,I will have been ,coming
to come,Future perfect continuous,you will have been ,coming
to come,Future perfect continuous,he will have been ,coming
to come,Future perfect continuous,we will have been ,coming
to come,Future perfect continuous,you will have been ,coming
to come,Future perfect continuous,they will have been ,coming
to make,Present (simple),I ,make
to make,Present (simple),you ,make
to make,Present (simple),he ,makes
to make,Present (simple),we ,make
to make,Present (simple),you ,make
to make,Present (simple),they ,make
to make,Present progressive / continuous,I am ,making
to make,Present progressive / continuous,you are ,making
to make,Present progressive / continuous,he is ,making
to make,Present progressive / continuous,we are ,making
to make,Present progressive / continuous,you are ,making
to make,Present progressive / continuous,they are ,making
to make,Past (simple),I ,made
to make,Past (simple),you ,made
to make,Past (simple),he ,made
to make,Past (simple),we ,made
to make,Past (simple),you ,made
to make,Past (simple),they ,made
to make,Past progressive / continuous,I was ,making
to make,Past progressive / continuous,you were ,making
to make,Past progressive / continuous,he was ,making
to make,Past progressive / continuous,we were ,making
to make,Past progressive / continuous,you were ,making
to make,Past progressive / continuous,they were ,making
to make,Present perfect (simple),I have ,made
to make,Present perfect (simple),you have ,made
to make,Present perfect (simple),he has ,made
to make,Present perfect (simple),we have ,made
to make,Present perfect (simple),you have ,made
to make,Present perfect (simple),they have ,made
to make,Present perfect progressive / continuous,I have been ,making
to make,Present perfect progressive / continuous,you have been ,making
to make,Present perfect progressive / continuous,he has been ,making
to make,Present perfect progressive / continuous,we have been ,making
to make,Present perfect progressive / continuous,you have been ,making
to make,Present perfect progressive / continuous,they have been ,making
to make,Past perfect,I had ,made
to make,Past perfect,you had ,made
to make,Past perfect,he had ,made
to make,Past perfect,we had ,made
to make,Past perfect,you had ,made
to make,Past perfect,they had ,made
to make,Past perfect progressive / continuous,I had been ,making
to make,Past perfect progressive / continuous,you had been ,making
to make,Past perfect progressive / continuous,he had been ,making
to make,Past perfect progressive / continuous,we had been ,making
to make,Past perfect progressive / continuous,you had been ,making
to make,Past perfect progressive / continuous,they had been ,making
to make,Future,I will ,make
to make,Future,you will ,make
to make,Future,he will ,make
to make,Future,we will ,make
to make,Future,you will ,make
to make,Future,they will ,make
to make,Future progressive / continuous,I will be ,making
to make,Future progressive / continuous,you will be ,making
to make,Future progressive / continuous,he will be ,making
to make,Future progressive / continuous,we will be ,making
to make,Future progressive / continuous,you will be ,making
to make,Future progressive / continuous,they will be ,making
to make,Future perfect,I will have ,made
to make,Future perfect,you will have ,made
to make,Future perfect,he will have ,made
